,School Year,Grade Level,Count of Students
68.0,20082009,2,47
68.0,20082009,3,68
68.0,20082009,4,74
68.0,20082009,5,52
68.0,20052006,2,49
68.0,20092010,1,75
68.0,20092010,2,63
68.0,20092010,3,56
68.0,20092010,4,62
68.0,20092010,5,72
68.0,20082009,K,67
68.0,20052006,1,62
68.0,20032004,5,70
68.0,20042005,5,56
68.0,20102011,K,58
68.0,20062007,2,66
68.0,20012002,K,46
68.0,20012002,1,56
68.0,20012002,2,56
68.0,20012002,3,66
68.0,20012002,4,42
68.0,20012002,5,53
68.0,20022003,K,56
68.0,20022003,1,49
68.0,20022003,2,55
68.0,20052006,K,67
68.0,20022003,3,59
68.0,20022003,5,47
68.0,20032004,K,50
68.0,20032004,1,61
68.0,20032004,2,50
68.0,20032004,3,54
68.0,20032004,4,62
68.0,20042005,K,56
68.0,20042005,1,52
68.0,20042005,2,65
68.0,20042005,3,42
68.0,20042005,4,51
68.0,20022003,4,71
68.0,20052006,5,58
68.0,20102011,1,55
68.0,20102011,3,56
68.0,20102011,2,74
68.0,20062007,K,47
68.0,20102011,5,61
68.0,20102011,4,55
70.0,20012002,K,21
70.0,20062007,2,15
70.0,20062007,3,14
70.0,20062007,4,18
70.0,20062007,5,18
70.0,20072008,K,13
70.0,20072008,1,19
70.0,20072008,2,15
70.0,20072008,3,16
70.0,20072008,4,15
70.0,20072008,5,15
70.0,20082009,K,15
70.0,20082009,1,14
70.0,20082009,2,21
70.0,20082009,3,13
70.0,20082009,4,14
70.0,20082009,5,16
70.0,20092010,K,10
70.0,20092010,1,18
70.0,20092010,2,14
70.0,20092010,3,20
70.0,20092010,4,11
70.0,20102011,K,19
70.0,20102011,2,20
70.0,20102011,3,13
70.0,20102011,4,18
70.0,20102011,5,13
70.0,20062007,1,17
70.0,20062007,K,19
70.0,20102011,1,11
70.0,20052006,4,18
70.0,20052006,5,10
70.0,20012002,1,17
70.0,20012002,2,22
70.0,20012002,3,15
70.0,20012002,4,13
70.0,20012002,5,9
70.0,20022003,K,14
70.0,20022003,1,21
70.0,20022003,2,17
70.0,20022003,3,19
70.0,20022003,4,13
70.0,20022003,5,15
70.0,20032004,K,17
70.0,20032004,1,18
70.0,20092010,5,14
70.0,20032004,3,16
70.0,20032004,2,21
70.0,20052006,2,13
70.0,20052006,K,12
70.0,20042005,5,19
70.0,20042005,4,15
70.0,20052006,1,14
70.0,20042005,2,18
70.0,20042005,3,19
70.0,20032004,5,10
70.0,20032004,4,20
70.0,20042005,K,18
70.0,20042005,1,19
70.0,20052006,3,17
72.0,20062007,1,21
72.0,20072008,3,21
72.0,20072008,2,18
72.0,20072008,1,25
72.0,20072008,K,20
72.0,20062007,5,25
72.0,20062007,4,16
72.0,20062007,3,27
72.0,20062007,2,23
72.0,20072008,4,26
72.0,20052006,1,23
72.0,20052006,5,19
72.0,20052006,4,22
72.0,20052006,3,16
72.0,20052006,2,34
72.0,20072008,5,19
72.0,20052006,K,20
72.0,20042005,5,30
72.0,20042005,4,20
72.0,20042005,3,22
72.0,20042005,2,21
72.0,20042005,1,28
72.0,20062007,K,28
72.0,20082009,K,12
72.0,20092010,1,19
72.0,20082009,2,22
72.0,20092010,5,22
72.0,20012002,K,21
72.0,20012002,1,23
72.0,20012002,2,39
72.0,20012002,3,28
72.0,20012002,4,19
72.0,20012002,5,26
72.0,20022003,K,19
72.0,20022003,1,24
72.0,20022003,2,25
72.0,20022003,3,39
72.0,20022003,4,25
72.0,20032004,K,29
72.0,20032004,1,21
72.0,20032004,2,25
72.0,20032004,3,27
72.0,20032004,4,38
72.0,20092010,3,19
72.0,20092010,2,24
72.0,20092010,K,21
72.0,20082009,5,28
72.0,20082009,4,24
72.0,20082009,3,20
72.0,20082009,1,21
72.0,20022003,5,20
72.0,20102011,K,26
72.0,20092010,4,22
72.0,20102011,1,21
72.0,20102011,2,20
72.0,20102011,3,21
72.0,20102011,4,21
72.0,20102011,5,23
72.0,20042005,K,24
72.0,20032004,5,24
74.0,20102011,5,81
74.0,20062007,2,81
74.0,20062007,3,68
74.0,20062007,4,78
74.0,20062007,5,75
74.0,20072008,K,75
74.0,20072008,1,78
74.0,20072008,2,87
74.0,20072008,3,79
74.0,20072008,4,61
74.0,20072008,5,83
74.0,20082009,K,84
74.0,20082009,1,76
74.0,20082009,2,74
74.0,20082009,3,84
74.0,20082009,4,73
74.0,20082009,5,64
74.0,20092010,K,95
74.0,20092010,1,110
74.0,20092010,2,81
74.0,20092010,3,84
74.0,20092010,4,86
74.0,20092010,5,76
74.0,20102011,K,101
74.0,20102011,1,96
74.0,20102011,2,111
74.0,20102011,3,88
74.0,20102011,4,82
74.0,20062007,1,83
74.0,20052006,5,86
74.0,20062007,K,87
74.0,20032004,1,89
74.0,20012002,2,82
74.0,20012002,3,81
74.0,20012002,4,63
74.0,20012002,5,75
74.0,20022003,K,82
74.0,20022003,1,94
74.0,20022003,2,98
74.0,20022003,3,87
74.0,20022003,4,72
74.0,20022003,5,62
74.0,20032004,K,76
74.0,20052006,4,72
74.0,20012002,1,105
74.0,20032004,2,91
74.0,20032004,4,75
74.0,20032004,5,60
74.0,20042005,K,77
74.0,20042005,1,66
74.0,20042005,2,85
74.0,20042005,3,82
74.0,20042005,4,89
74.0,20042005,5,66
74.0,20052006,K,89
74.0,20052006,1,86
74.0,20052006,2,73
74.0,20052006,3,80
74.0,20032004,3,91
74.0,20012002,K,89
75.0,20022003,1,1
75.0,20012002,K,1
76.0,20012002,K,38
76.0,20012002,1,46
76.0,20012002,2,40
76.0,20062007,3,46
76.0,20062007,4,30
76.0,20072008,K,29
76.0,20072008,1,30
76.0,20072008,2,36
76.0,20072008,3,34
76.0,20072008,4,42
76.0,20072008,5,30
76.0,20082009,K,29
76.0,20082009,1,31
76.0,20082009,2,35
76.0,20082009,3,37
76.0,20062007,2,33
76.0,20082009,4,35
76.0,20092010,K,28
76.0,20092010,1,41
76.0,20092010,2,42
76.0,20092010,3,28
76.0,20092010,4,27
76.0,20092010,5,33
76.0,20102011,K,36
76.0,20102011,1,24
76.0,20102011,2,42
76.0,20102011,3,41
76.0,20102011,4,28
76.0,20102011,5,29
76.0,20082009,5,34
76.0,20062007,1,33
76.0,20062007,5,45
76.0,20052006,5,47
76.0,20012002,3,34
76.0,20012002,4,34
76.0,20012002,5,40
76.0,20022003,K,32
76.0,20022003,1,39
76.0,20022003,2,50
76.0,20022003,3,44
76.0,20022003,4,30
76.0,20062007,K,27
76.0,20032004,K,46
76.0,20032004,1,34
76.0,20032004,2,38
76.0,20032004,3,47
76.0,20022003,5,25
76.0,20032004,5,25
76.0,20052006,4,42
76.0,20032004,4,36
76.0,20052006,2,43
76.0,20052006,1,35
76.0,20052006,K,34
76.0,20052006,3,33
76.0,20042005,4,43
76.0,20042005,3,42
76.0,20042005,5,32
76.0,20042005,2,36
76.0,20042005,1,44
76.0,20042005,K,32
78.0,20012002,4,1
78.0,20022003,5,1
80.0,20012002,K,1
82.0,20022003,2,1
82.0,20032004,1,1
82.0,20032004,3,1
82.0,20042005,4,1
82.0,20052006,5,1
82.0,20022003,K,1
82.0,20012002,1,1
90.0,20022003,5,1
94.0,20062007,K,12
94.0,20102011,5,6
94.0,20062007,1,6
94.0,20062007,2,14
94.0,20062007,3,10
94.0,20062007,4,8
94.0,20062007,5,12
94.0,20072008,K,7
94.0,20072008,1,8
94.0,20072008,2,5
94.0,20072008,3,14
94.0,20072008,4,9
94.0,20072008,5,6
94.0,20082009,K,6
94.0,20052006,5,9
94.0,20082009,1,8
94.0,20082009,3,7
94.0,20082009,4,13
94.0,20082009,5,10
94.0,20092010,1,12
94.0,20092010,2,9
94.0,20092010,3,12
94.0,20092010,4,7
94.0,20092010,5,9
94.0,20102011,K,13
94.0,20102011,1,10
94.0,20102011,2,16
94.0,20102011,3,10
94.0,20082009,2,7
94.0,20052006,4,11
94.0,20092010,K,11
94.0,20052006,2,10
94.0,20052006,3,11
94.0,20012002,K,12
94.0,20012002,1,14
94.0,20012002,2,3
94.0,20012002,3,10
94.0,20012002,4,8
94.0,20012002,5,8
94.0,20022003,K,10
94.0,20022003,1,10
94.0,20022003,2,9
94.0,20022003,3,2
94.0,20022003,4,11
94.0,20022003,5,6
94.0,20102011,4,11
94.0,20032004,1,10
94.0,20052006,K,7
94.0,20042005,5,4
94.0,20042005,4,8
94.0,20042005,3,8
94.0,20042005,1,7
94.0,20042005,2,10
94.0,20032004,5,12
94.0,20032004,4,4
94.0,20032004,K,6
94.0,20032004,3,9
94.0,20032004,2,10
94.0,20042005,K,13
94.0,20052006,1,15
96.0,20042005,5,1
96.0,20012002,2,1
96.0,20052006,5,1
96.0,20042005,4,1
96.0,20022003,5,1
96.0,20022003,3,2
96.0,20012002,5,2
96.0,20032004,4,2
96.0,20012002,4,1
98.0,20052006,5,2
98.0,20042005,5,1
98.0,20042005,4,2
98.0,20032004,5,1
98.0,20032004,4,2
98.0,20022003,3,3
98.0,20022003,4,1
98.0,20022003,2,1
98.0,20012002,3,1
98.0,20012002,2,3
98.0,20012002,1,1
98.0,20032004,3,2
100.0,20032004,4,22
100.0,20032004,3,26
100.0,20032004,2,37
100.0,20032004,1,32
100.0,20032004,K,21
100.0,20022003,5,24
100.0,20022003,4,25
100.0,20022003,3,23
100.0,20022003,K,33
100.0,20022003,1,29
100.0,20012002,5,23
100.0,20012002,4,28
100.0,20012002,3,24
100.0,20012002,2,27
100.0,20012002,K,28
100.0,20032004,5,26
100.0,20022003,2,34
100.0,20012002,1,31
100.0,20042005,K,21
100.0,20042005,2,29
100.0,20082009,K,27
100.0,20082009,1,17
100.0,20082009,2,22
100.0,20082009,3,24
100.0,20082009,4,16
100.0,20082009,5,15
100.0,20092010,1,35
100.0,20092010,2,21
100.0,20092010,3,27
100.0,20092010,4,25
100.0,20092010,5,21
100.0,20102011,K,34
100.0,20102011,1,36
100.0,20102011,2,38
100.0,20102011,3,27
100.0,20102011,4,24
100.0,20102011,5,36
100.0,20072008,5,23
100.0,20042005,1,24
100.0,20072008,4,16
100.0,20072008,2,25
100.0,20042005,3,25
100.0,20042005,4,24
100.0,20042005,5,17
100.0,20052006,K,26
100.0,20052006,1,22
100.0,20052006,2,24
100.0,20052006,3,23
100.0,20052006,4,18
100.0,20052006,5,20
100.0,20062007,K,24
100.0,20062007,1,27
100.0,20062007,2,17
100.0,20062007,3,24
100.0,20062007,4,24
100.0,20062007,5,15
100.0,20072008,K,9
100.0,20072008,1,23
100.0,20072008,3,17
100.0,20092010,K,32
102.0,20102011,4,69
102.0,20012002,K,37
102.0,20062007,2,51
102.0,20062007,3,59
102.0,20062007,4,34
102.0,20062007,5,38
102.0,20072008,K,41
102.0,20072008,1,46
102.0,20072008,2,56
102.0,20072008,3,53
102.0,20072008,4,50
102.0,20072008,5,32
102.0,20082009,K,44
102.0,20082009,1,50
102.0,20062007,1,61
102.0,20082009,2,47
102.0,20082009,4,59
102.0,20082009,5,53
102.0,20092010,K,78
102.0,20092010,1,66
102.0,20092010,2,61
102.0,20092010,3,67
102.0,20092010,4,58
102.0,20092010,5,64
102.0,20102011,K,95
102.0,20102011,1,83
102.0,20102011,2,78
102.0,20102011,3,64
102.0,20082009,3,52
102.0,20102011,5,65
102.0,20062007,K,46
102.0,20052006,4,36
102.0,20012002,1,53
102.0,20012002,2,60
102.0,20012002,3,60
102.0,20012002,4,44
102.0,20012002,5,51
102.0,20022003,K,34
102.0,20022003,2,45
102.0,20022003,3,59
102.0,20022003,4,59
102.0,20022003,5,39
102.0,20032004,K,56
102.0,20032004,1,39
102.0,20052006,5,44
102.0,20032004,2,51
102.0,20032004,4,65
102.0,20032004,5,61
102.0,20042005,K,54
102.0,20042005,1,60
102.0,20042005,2,38
102.0,20042005,3,42
102.0,20042005,4,42
102.0,20042005,5,63
102.0,20052006,K,53
102.0,20052006,1,49
102.0,20052006,2,57
102.0,20052006,3,47
102.0,20032004,3,39
102.0,20022003,1,47
104.0,20082009,1,71
104.0,20082009,2,68
104.0,20062007,1,72
104.0,20062007,2,67
104.0,20062007,3,74
104.0,20062007,4,70
104.0,20072008,K,61
104.0,20072008,1,69
104.0,20072008,2,71
104.0,20072008,3,67
104.0,20072008,4,65
104.0,20072008,5,71
104.0,20082009,K,77
104.0,20082009,3,68
104.0,20062007,K,69
104.0,20082009,4,69
104.0,20092010,K,92
104.0,20092010,1,113
104.0,20092010,2,91
104.0,20092010,3,75
104.0,20092010,4,78
104.0,20092010,5,62
104.0,20102011,K,107
104.0,20102011,1,108
104.0,20102011,2,121
104.0,20102011,3,104
104.0,20102011,4,82
104.0,20102011,5,71
104.0,20082009,5,65
104.0,20052006,5,54
104.0,20062007,5,63
104.0,20052006,3,77
104.0,20012002,K,67
104.0,20012002,1,79
104.0,20012002,2,77
104.0,20012002,3,53
104.0,20012002,4,63
104.0,20012002,5,55
104.0,20022003,K,86
104.0,20022003,1,76
104.0,20052006,4,65
104.0,20022003,3,68
104.0,20022003,4,53
104.0,20022003,5,65
104.0,20032004,K,73
104.0,20032004,1,83
104.0,20022003,2,71
104.0,20052006,2,74
104.0,20032004,2,67
104.0,20052006,1,73
104.0,20052006,K,78
104.0,20042005,5,65
104.0,20042005,3,66
104.0,20042005,4,60
104.0,20042005,1,79
104.0,20042005,K,67
104.0,20032004,5,63
104.0,20032004,4,65
104.0,20032004,3,67
104.0,20042005,2,81
106.0,20082009,1,42
106.0,20072008,3,52
106.0,20082009,K,37
106.0,20072008,5,45
106.0,20072008,4,43
106.0,20072008,2,42
106.0,20062007,2,55
106.0,20072008,K,37
106.0,20062007,5,28
106.0,20062007,4,44
106.0,20062007,3,40
106.0,20082009,2,30
106.0,20072008,1,36
106.0,20082009,3,38
106.0,20102011,3,69
106.0,20082009,5,38
106.0,20092010,K,43
106.0,20092010,1,47
106.0,20092010,2,56
106.0,20092010,3,35
106.0,20092010,4,50
106.0,20092010,5,50
106.0,20102011,K,69
106.0,20102011,1,60
106.0,20102011,2,56
106.0,20102011,4,41
106.0,20102011,5,56
106.0,20062007,1,46
106.0,20082009,4,53
106.0,20062007,K,35
106.0,20032004,2,43
106.0,20052006,4,37
106.0,20052006,5,40
106.0,20012002,1,55
106.0,20012002,2,48
106.0,20012002,3,51
106.0,20012002,4,43
106.0,20012002,5,46
106.0,20022003,K,37
106.0,20022003,1,47
106.0,20022003,2,50
106.0,20022003,3,56
106.0,20022003,4,52
106.0,20022003,5,44
106.0,20032004,K,41
106.0,20032004,1,47
106.0,20012002,K,43
106.0,20032004,3,47
106.0,20052006,2,34
106.0,20052006,1,50
106.0,20052006,K,39
106.0,20042005,5,48
106.0,20042005,4,45
106.0,20052006,3,40
106.0,20042005,2,40
106.0,20042005,1,39
106.0,20042005,K,54
106.0,20032004,5,45
106.0,20032004,4,53
106.0,20042005,3,40
108.0,20082009,1,39
108.0,20072008,5,37
108.0,20072008,4,31
108.0,20072008,3,31
108.0,20072008,2,35
108.0,20072008,1,48
108.0,20062007,4,37
108.0,20062007,5,36
108.0,20062007,3,30
108.0,20062007,2,34
108.0,20082009,2,52
108.0,20062007,1,43
108.0,20072008,K,33
108.0,20082009,3,30
108.0,20092010,3,52
108.0,20082009,5,28
108.0,20092010,K,44
108.0,20092010,1,53
108.0,20092010,2,54
108.0,20062007,K,43
108.0,20092010,4,36
108.0,20092010,5,33
108.0,20102011,K,47
108.0,20102011,1,57
108.0,20102011,2,49
108.0,20102011,3,54
108.0,20102011,4,49
108.0,20102011,5,41
108.0,20082009,4,37
108.0,20052006,5,23
108.0,20082009,K,38
108.0,20052006,3,34
108.0,20052006,4,34
108.0,20012002,K,44
108.0,20012002,1,36
108.0,20012002,2,32
108.0,20012002,3,28
108.0,20012002,4,27
108.0,20012002,5,36
108.0,20022003,K,30
108.0,20022003,1,39
108.0,20022003,2,32
108.0,20022003,3,29
108.0,20022003,4,30
108.0,20022003,5,23
108.0,20032004,K,28
108.0,20042005,3,39
108.0,20032004,2,39
108.0,20032004,3,29
108.0,20032004,4,20
108.0,20032004,5,27
108.0,20042005,K,34
108.0,20042005,1,30
108.0,20042005,2,28
108.0,20032004,1,30
108.0,20042005,4,25
108.0,20042005,5,19
108.0,20052006,K,30
108.0,20052006,1,29
108.0,20052006,2,28
110.0,20072008,4,1
110.0,20082009,5,1
110.0,20062007,5,1
110.0,20012002,5,1
110.0,20042005,3,1
110.0,20052006,4,1
114.0,20052006,3,10
114.0,20052006,4,12
114.0,20052006,5,22
114.0,20062007,K,11
114.0,20062007,1,9
114.0,20062007,2,9
114.0,20062007,3,18
114.0,20062007,4,10
114.0,20062007,5,13
114.0,20072008,K,11
114.0,20072008,1,11
114.0,20072008,2,9
114.0,20072008,4,15
114.0,20092010,K,16
114.0,20072008,5,10
114.0,20082009,K,16
114.0,20082009,1,11
114.0,20082009,2,9
114.0,20082009,3,8
114.0,20082009,4,7
114.0,20082009,5,14
114.0,20052006,2,24
114.0,20072008,3,6
114.0,20052006,1,10
114.0,20022003,1,18
114.0,20042005,5,7
114.0,20092010,1,18
114.0,20012002,K,18
114.0,20012002,1,26
114.0,20012002,2,12
114.0,20012002,3,18
114.0,20012002,4,12
114.0,20012002,5,15
114.0,20022003,K,6
114.0,20022003,2,21
114.0,20022003,3,9
114.0,20022003,4,18
114.0,20022003,5,10
114.0,20032004,K,18
114.0,20032004,1,7
114.0,20032004,2,12
114.0,20032004,3,17
114.0,20032004,4,8
114.0,20032004,5,10
114.0,20042005,K,11
114.0,20042005,1,23
114.0,20042005,2,9
114.0,20042005,3,14
114.0,20042005,4,20
114.0,20052006,K,12
114.0,20092010,2,13
114.0,20092010,3,12
114.0,20092010,4,15
114.0,20092010,5,13
114.0,20102011,K,15
114.0,20102011,1,20
114.0,20102011,2,25
114.0,20102011,3,12
114.0,20102011,4,18
114.0,20102011,5,15
116.0,20072008,4,59
116.0,20082009,1,54
116.0,20082009,K,86
116.0,20072008,5,59
116.0,20072008,3,57
116.0,20072008,2,72
116.0,20062007,3,63
116.0,20072008,K,54
116.0,20062007,5,62
116.0,20062007,4,63
116.0,20082009,2,73
116.0,20062007,2,55
116.0,20072008,1,79
116.0,20082009,3,76
116.0,20092010,2,96
116.0,20082009,5,56
116.0,20092010,K,112
116.0,20092010,1,116
116.0,20062007,K,80
116.0,20092010,3,84
116.0,20092010,4,89
116.0,20092010,5,62
116.0,20102011,K,105
116.0,20102011,1,133
116.0,20102011,2,116
116.0,20102011,3,97
116.0,20102011,4,93
116.0,20102011,5,87
116.0,20082009,4,53
116.0,20052006,5,58
116.0,20062007,1,80
116.0,20052006,3,59
116.0,20012002,K,60
116.0,20012002,1,61
116.0,20012002,2,39
116.0,20012002,3,55
116.0,20012002,4,51
116.0,20012002,5,38
116.0,20022003,K,49
116.0,20022003,1,70
116.0,20052006,4,54
116.0,20022003,3,46
116.0,20022003,4,54
116.0,20022003,5,52
116.0,20032004,K,51
116.0,20032004,1,55
116.0,20022003,2,54
116.0,20032004,3,54
116.0,20032004,2,60
116.0,20052006,2,53
116.0,20052006,1,63
116.0,20052006,K,73
116.0,20042005,4,56
116.0,20042005,3,59
116.0,20042005,5,56
116.0,20042005,1,61
116.0,20042005,K,57
116.0,20032004,5,51
116.0,20032004,4,50
116.0,20042005,2,60
118.0,20072008,3,20
118.0,20082009,1,21
118.0,20082009,K,20
118.0,20072008,5,24
118.0,20072008,4,34
118.0,20072008,2,22
118.0,20082009,2,33
118.0,20072008,K,17
118.0,20062007,5,19
118.0,20062007,4,25
118.0,20062007,3,31
118.0,20062007,2,22
118.0,20072008,1,34
118.0,20082009,3,21
118.0,20052006,1,22
118.0,20082009,5,31
118.0,20092010,K,25
118.0,20092010,1,29
118.0,20092010,2,27
118.0,20092010,3,38
118.0,20092010,4,23
118.0,20092010,5,32
118.0,20102011,K,35
118.0,20102011,1,29
118.0,20102011,2,27
118.0,20102011,3,22
118.0,20102011,4,29
118.0,20102011,5,27
118.0,20062007,1,24
118.0,20082009,4,24
118.0,20062007,K,30
118.0,20022003,3,22
118.0,20052006,4,16
118.0,20052006,5,29
118.0,20012002,1,26
118.0,20012002,2,23
118.0,20012002,3,26
118.0,20012002,4,21
118.0,20012002,5,22
118.0,20022003,K,24
118.0,20022003,1,18
118.0,20022003,2,33
118.0,20022003,4,27
118.0,20022003,5,18
118.0,20032004,K,25
118.0,20032004,1,28
118.0,20012002,K,14
118.0,20032004,3,32
118.0,20032004,2,16
118.0,20052006,3,21
118.0,20052006,K,29
118.0,20042005,5,21
118.0,20042005,4,29
118.0,20042005,3,18
118.0,20052006,2,30
118.0,20042005,1,26
118.0,20042005,K,19
118.0,20032004,5,25
118.0,20032004,4,21
118.0,20042005,2,25
120.0,20072008,5,19
120.0,20072008,4,15
120.0,20072008,3,16
120.0,20072008,2,13
120.0,20072008,1,22
120.0,20062007,5,11
120.0,20062007,4,19
120.0,20062007,3,18
120.0,20082009,K,22
120.0,20062007,2,16
120.0,20062007,1,11
120.0,20072008,K,11
120.0,20082009,1,13
120.0,20102011,4,26
120.0,20082009,3,15
120.0,20082009,4,18
120.0,20082009,5,19
120.0,20092010,K,21
120.0,20102011,5,18
120.0,20102011,3,19
120.0,20102011,2,27
120.0,20102011,1,23
120.0,20102011,K,18
120.0,20092010,5,17
120.0,20092010,4,15
120.0,20092010,3,25
120.0,20062007,K,21
120.0,20082009,2,23
120.0,20052006,5,16
120.0,20052006,K,13
120.0,20052006,3,22
120.0,20092010,2,16
120.0,20012002,K,11
120.0,20012002,1,12
120.0,20012002,2,19
120.0,20012002,3,16
120.0,20012002,4,12
120.0,20012002,5,14
120.0,20022003,K,13
120.0,20022003,1,10
120.0,20022003,2,15
120.0,20022003,3,19
120.0,20022003,4,16
120.0,20022003,5,11
120.0,20052006,4,14
120.0,20032004,K,13
120.0,20032004,2,10
120.0,20032004,3,16
120.0,20032004,4,18
120.0,20032004,5,13
120.0,20042005,K,14
120.0,20042005,1,15
120.0,20042005,2,18
120.0,20042005,3,13
120.0,20042005,4,14
120.0,20042005,5,18
120.0,20052006,1,16
120.0,20052006,2,14
120.0,20032004,1,16
120.0,20092010,1,25
122.0,20082009,5,42
122.0,20092010,K,71
122.0,20012002,1,80
122.0,20062007,2,62
122.0,20062007,3,52
122.0,20062007,4,47
122.0,20062007,5,58
122.0,20072008,K,41
122.0,20072008,1,59
122.0,20072008,2,82
122.0,20072008,3,54
122.0,20072008,4,47
122.0,20072008,5,49
122.0,20082009,K,50
122.0,20082009,1,54
122.0,20062007,1,78
122.0,20082009,2,58
122.0,20092010,1,64
122.0,20092010,2,74
122.0,20092010,3,62
122.0,20092010,4,77
122.0,20092010,5,63
122.0,20102011,K,79
122.0,20102011,1,72
122.0,20102011,2,68
122.0,20102011,3,75
122.0,20102011,4,61
122.0,20082009,4,52
122.0,20012002,K,72
122.0,20082009,3,75
122.0,20062007,K,51
122.0,20102011,5,73
122.0,20052006,4,57
122.0,20012002,2,75
122.0,20012002,3,71
122.0,20012002,4,81
122.0,20012002,5,67
122.0,20022003,K,59
122.0,20022003,1,72
122.0,20022003,2,70
122.0,20052006,5,48
122.0,20022003,4,68
122.0,20022003,5,73
122.0,20032004,K,55
122.0,20032004,1,55
122.0,20032004,2,76
122.0,20022003,3,74
122.0,20032004,4,68
122.0,20052006,3,52
122.0,20032004,3,58
122.0,20052006,1,65
122.0,20052006,K,69
122.0,20042005,5,71
122.0,20052006,2,58
122.0,20042005,3,61
122.0,20042005,4,48
122.0,20042005,K,62
122.0,20032004,5,68
122.0,20042005,1,54
122.0,20042005,2,61
126.0,20052006,4,26
126.0,20052006,5,33
126.0,20062007,K,33
126.0,20062007,1,28
126.0,20062007,2,28
126.0,20062007,3,27
126.0,20062007,4,33
126.0,20062007,5,28
126.0,20072008,K,33
126.0,20052006,3,31
126.0,20072008,1,31
126.0,20092010,2,35
126.0,20072008,3,32
126.0,20072008,4,27
126.0,20072008,5,32
126.0,20082009,K,36
126.0,20082009,1,33
126.0,20082009,2,28
126.0,20082009,3,33
126.0,20082009,5,26
126.0,20092010,K,24
126.0,20092010,1,41
126.0,20092010,3,28
126.0,20072008,2,30
126.0,20052006,2,22
126.0,20032004,2,19
126.0,20052006,K,30
126.0,20092010,4,33
126.0,20012002,K,30
126.0,20012002,1,23
126.0,20012002,2,33
126.0,20012002,3,35
126.0,20012002,4,26
126.0,20012002,5,23
126.0,20022003,K,30
126.0,20022003,1,26
126.0,20022003,2,22
126.0,20022003,3,33
126.0,20052006,1,26
126.0,20022003,4,34
126.0,20032004,K,19
126.0,20032004,1,30
126.0,20032004,3,23
126.0,20032004,4,28
126.0,20032004,5,31
126.0,20042005,K,25
126.0,20042005,1,22
126.0,20042005,2,30
126.0,20042005,3,21
126.0,20042005,4,26
126.0,20042005,5,28
126.0,20022003,5,18
126.0,20092010,5,33
126.0,20082009,4,31
126.0,20102011,1,27
126.0,20102011,2,40
126.0,20102011,3,38
126.0,20102011,4,31
126.0,20102011,5,37
126.0,20102011,K,37
128.01,20032004,5,20
128.01,20042005,K,21
128.01,20042005,1,13
128.01,20042005,2,13
128.01,20042005,3,25
128.01,20052006,K,19
128.01,20042005,5,23
128.01,20032004,4,23
128.01,20052006,1,27
128.01,20052006,2,14
128.01,20052006,3,15
128.01,20042005,4,20
128.01,20032004,3,20
128.01,20032004,K,10
128.01,20032004,1,14
128.01,20052006,4,23
128.01,20022003,5,23
128.01,20022003,4,24
128.01,20022003,3,21
128.01,20022003,2,17
128.01,20022003,1,26
128.01,20022003,K,13
128.01,20012002,5,22
128.01,20012002,4,22
128.01,20012002,3,23
128.01,20012002,2,26
128.01,20032004,2,23
128.01,20052006,5,22
128.01,20062007,2,26
128.01,20062007,1,17
128.01,20102011,4,25
128.01,20102011,3,21
128.01,20102011,2,23
128.01,20102011,1,15
128.01,20102011,K,20
128.01,20092010,5,21
128.01,20092010,4,20
128.01,20092010,3,26
128.01,20092010,2,24
128.01,20092010,1,24
128.01,20092010,K,11
128.01,20082009,5,16
128.01,20082009,4,25
128.01,20062007,K,20
128.01,20082009,3,19
128.01,20082009,1,20
128.01,20102011,5,18
128.01,20082009,K,19
128.01,20072008,5,15
128.01,20072008,4,13
128.01,20072008,3,24
128.01,20072008,2,21
128.01,20072008,1,22
128.01,20072008,K,17
128.01,20062007,5,27
128.01,20062007,4,15
128.01,20062007,3,14
128.01,20012002,1,17
128.01,20082009,2,25
128.01,20012002,K,26
130.0,20102011,3,53
130.0,20102011,4,29
130.0,20052006,2,49
130.0,20052006,1,48
130.0,20052006,K,55
130.0,20042005,4,53
130.0,20042005,3,39
130.0,20042005,2,50
130.0,20042005,1,44
130.0,20042005,K,43
130.0,20032004,5,46
130.0,20032004,4,49
130.0,20032004,3,61
130.0,20032004,2,38
130.0,20052006,3,47
130.0,20032004,1,49
130.0,20022003,5,36
130.0,20022003,4,43
130.0,20022003,3,50
130.0,20022003,2,51
130.0,20022003,1,37
130.0,20022003,K,48
130.0,20012002,5,43
130.0,20012002,4,32
130.0,20012002,3,46
130.0,20012002,2,46
130.0,20012002,1,50
130.0,20012002,K,34
130.0,20032004,K,46
130.0,20102011,5,49
130.0,20052006,4,43
130.0,20062007,K,44
130.0,20102011,2,41
130.0,20102011,1,56
130.0,20102011,K,55
130.0,20092010,5,43
130.0,20092010,4,46
130.0,20092010,3,31
130.0,20092010,2,55
130.0,20092010,1,46
130.0,20092010,K,57
130.0,20082009,5,43
130.0,20082009,4,47
130.0,20082009,3,45
130.0,20052006,5,61
130.0,20082009,2,33
130.0,20082009,K,37
130.0,20072008,5,45
130.0,20072008,4,34
130.0,20072008,3,51
130.0,20072008,2,47
130.0,20072008,1,37
130.0,20072008,K,49
130.0,20062007,5,45
130.0,20062007,4,48
130.0,20062007,3,39
130.0,20062007,2,52
130.0,20062007,1,50
130.0,20082009,1,53
